"School","Total_Students","Temp_Housing","Percentage","Shelter","DHS_Shelter","Non_DHS_Shelter","Doubled_Up","Year"
"Richmond Hill High School","1667",105,0.063,15,NA,NA,62,2019
"John Adams High School","2469",226,0.092,41,31,10,183,2019
"John Adams Yabc","260",30,0.115,8,NA,NA,16,2019
"Universal Pre-K C.B.O.","1509",87,0.058,22,16,6,64,2019
"J.H.S. 008 Richard S. Grossley","402",53,0.132,15,7,8,37,2019
"P.S. 040 Samuel Huntington","413",74,0.179,42,NA,NA,32,2019
"P.S. 048 William Wordsworth","591",116,0.196,32,26,6,72,2019
"P.S. 050 Talfourd Lawn Elementary School","885",99,0.112,38,30,8,57,2019
"P.S. 054 Hillside","560",100,0.179,10,NA,NA,85,2019
"P.S. 055 Maure","541",27,0.05,10,NA,NA,16,2019
"Catherine & Count Basie Middle School 72","353",54,0.153,28,22,6,24,2019
"PS 80  The Thurgood Marshall Magnet School of Mult","503",62,0.123,33,NA,NA,28,2019
"P.S. 082 Hammond","675",73,0.108,22,NA,NA,50,2019
"P.S. Q086","898",86,0.096,NA,NA,NA,82,2019
"P.S. 099 Kew Gardens","801",76,0.095,15,NA,NA,59,2019
"P.S. 117 J. Keld / Briarwood School","1029",78,0.076,53,NA,NA,23,2019
"P.S. 121 Queens","917",23,0.025,6,NA,NA,13,2019
"P.S. 139 Rego Park","782",32,0.041,NA,NA,NA,31,2019
"P.S. 140 Edward K Ellington","493",77,0.156,41,NA,NA,35,2019
"P.S. 144 Col Jeromus Remsen","923",16,0.017,NA,NA,NA,14,2019
"J.H.S. 157 Stephen A. Halsey","1693",63,0.037,15,NA,NA,48,2019
"P.S. 160 Walter Francis Bishop","641",65,0.101,23,15,8,42,2019
"P.S. 161 Arthur Ashe School","672",31,0.046,NA,NA,NA,28,2019
"Metropolitan Expeditionary Learning School","831",39,0.047,NA,NA,NA,35,2019
"P.S. 174 William Sidney Mount","695",12,0.017,NA,NA,NA,12,2019
"P.S. 175 The Lynn Gross Discovery School","836",20,0.024,NA,NA,NA,19,2019
"P.S. 182 Samantha Smith","745",94,0.126,16,NA,NA,77,2019
"J.H.S. 190 Russell Sage","1107",38,0.034,11,NA,NA,25,2019
"P.S. 196 Grand Central Parkway","1035",10,0.01,NA,NA,NA,7,2019
"P.S. 206 The Horace Harding School","632",8,0.013,NA,NA,NA,7,2019
"J.H.S. 217 Robert A. Van Wyck","1740",222,0.128,51,44,7,167,2019
"P.S. 220 Edward Mandel","734",49,0.067,NA,NA,NA,45,2019
"York Early College Academy","656",22,0.034,8,NA,NA,12,2019
"The Emerson School","369",50,0.136,10,NA,NA,37,2019
"Queens Collegiate: A College Board School","690",48,0.07,14,8,6,30,2019
"Jamaica Children's School","206",18,0.087,13,NA,NA,NA,2019
"Hillside Arts & Letters Academy","453",26,0.057,9,NA,NA,17,2019
"High School for Community Leadership","499",36,0.072,10,NA,NA,25,2019
"Redwood Middle School","346",37,0.107,13,NA,NA,22,2019
"The Ezra Jack Keats Pre-K Center","250",18,0.072,NA,NA,NA,15,2019
"Queens Satellite High School for Opportunity","224",12,0.054,NA,NA,NA,6,2019
"The Queens School for Leadership and Excellence","428",59,0.138,21,NA,NA,37,2019
"Jamaica Gateway to the Sciences","509",28,0.055,8,NA,NA,19,2019
"The Jermaine L. Green STEM Institute of Queens","604",60,0.099,18,NA,NA,39,2019
"M.S. 358","369",35,0.095,NA,NA,NA,31,2019
"Forest Hills High School","3845",152,0.04,22,13,9,118,2019
"Home Schooling","353",13,0.037,NA,NA,NA,7,2019
"Hillcrest High School","3304",177,0.054,47,29,18,128,2019
"Thomas A. Edison Career and Technical Education Hi","2191",65,0.03,14,8,6,48,2019
"Queens Gateway to Health Sciences Secondary School","702",24,0.034,NA,NA,NA,22,2019
"Queens Metropolitan High School","1103",29,0.026,NA,NA,NA,23,2019
"Queens High School for the Sciences at York Colleg","478",9,0.019,NA,NA,NA,8,2019
"High School for Law Enforcement and Public Safety","463",25,0.054,10,NA,NA,12,2019
"Universal Pre-K C.B.O.","2120",80,0.038,32,NA,NA,43,2019
"Young Women's Leadership School, Queens","552",23,0.042,7,NA,NA,15,2019
"P.S. 015 Jackie Robinson","455",61,0.134,20,NA,NA,37,2019
"P.S. 033 Edward M. Funk","973",41,0.042,10,NA,NA,30,2019
"P.S. 034 John Harvard","624",84,0.135,16,NA,NA,67,2019
"P.S. 035 Nathaniel Woodhull","701",58,0.083,13,NA,NA,45,2019
"P.S. 036 Saint Albans School","435",82,0.189,24,18,6,56,2019
"Cynthia Jenkins School","461",101,0.219,33,26,7,56,2019
"P.S. 038 Rosedale","302",19,0.063,9,NA,NA,6,2019
"P.S. 052 Queens","444",140,0.315,115,105,10,23,2019
"I.S. 059 Springfield Gardens","630",48,0.076,10,NA,NA,33,2019
"P.S. 095 Eastwood","1496",210,0.14,53,42,11,157,2019
"Jean Nuzzi Intermediate School","1194",67,0.056,9,NA,NA,54,2019
"P.S./I.S. 116 William C. Hughley","830",179,0.216,76,66,10,93,2019
"P.S. 118 Lorraine Hansberry","494",48,0.097,18,11,7,26,2019
"P.S. 131 Abigail Adams","794",103,0.13,NA,NA,NA,101,2019
"P.S. 132 Ralph Bunche","377",46,0.122,9,NA,NA,36,2019
"P.S. 134 Hollis","357",38,0.106,22,16,6,9,2019
"The Bellaire School","989",50,0.051,13,NA,NA,35,2019
"P.S. 136 Roy Wilkins","624",60,0.096,37,28,9,22,2019
"P.S./M.S. 138 Sunrise","758",66,0.087,23,NA,NA,38,2019
"P.S./M.S. 147 Ronald McNair","593",60,0.101,18,NA,NA,34,2019
"P.S. 156 Laurelton","247",19,0.077,9,NA,NA,8,2019
"P.S. 176 Cambria Heights","771",9,0.012,7,NA,NA,NA,2019
"P.S. 181 Brookfield","337",24,0.071,16,NA,NA,8,2019
"I.S. 192 The Linden","535",59,0.11,16,NA,NA,38,2019
"P.S. 195 William Haberle","544",45,0.083,14,NA,NA,23,2019
"P.S./I.S. 208","723",11,0.015,NA,NA,NA,7,2019
"I.S. 238 - Susan B. Anthony Academy","1376",234,0.17,45,39,6,187,2019
"Institute for Health Professions at Cambria Height","445",34,0.076,6,NA,NA,26,2019
"Queens Preparatory Academy","380",51,0.134,19,NA,NA,29,2019
"P.S. 251 Queens","356",45,0.126,17,NA,NA,26,2019
"Pathways College Preparatory School: A College Boa","597",44,0.074,11,NA,NA,25,2019
"Excelsior Preparatory High School","446",33,0.074,9,NA,NA,19,2019
"P.S./I.S. 268","642",34,0.053,NA,NA,NA,25,2019
"The Gordon Parks School","766",23,0.03,10,NA,NA,13,2019
"George Washington Carver High School for the Scien","443",40,0.09,20,12,8,18,2019
"Preparatory Academy for Writers: A College Board S","572",40,0.07,14,NA,NA,22,2019
"Queens United Middle School","176",17,0.097,7,NA,NA,8,2019
"P.S./I.S. 295","490",54,0.11,NA,NA,NA,48,2019
"Benjamin Franklin High School for Finance & Inform","419",38,0.091,NA,NA,NA,30,2019
"Cambria Heights Academy","390",31,0.079,9,NA,NA,20,2019
"Eagle Academy for Young Men III","510",43,0.084,19,13,6,22,2019
"Collaborative Arts Middle School","336",49,0.146,16,NA,NA,26,2019
"Community Voices Middle School","396",84,0.212,29,23,6,46,2019
"P.S. 360","217",9,0.041,NA,NA,NA,8,2019
"District 29 Pre-K Center","216",20,0.093,NA,NA,NA,15,2019
"Home Schooling","288",14,0.049,8,NA,NA,6,2019
"Mathematics, Science Research and Technology Magne","428",40,0.093,10,NA,NA,30,2019
"Humanities & Arts Magnet High School","410",37,0.09,12,NA,NA,25,2019
"Universal Pre-K C.B.O.","1331",51,0.038,26,19,7,21,2019
"P.S. 002 Alfred Zimberg","585",30,0.051,25,NA,NA,NA,2019
"I.S. 010 Horace Greeley","807",57,0.071,11,NA,NA,46,2019
"P.S. 011 Kathryn Phelan","981",84,0.086,9,NA,NA,75,2019
"P.S. 017 Henry David Thoreau","607",67,0.11,7,NA,NA,60,2019
"P.S. 069 Jackson Heights","1040",19,0.018,NA,NA,NA,15,2019
"P.S. 070","894",15,0.017,NA,NA,NA,10,2019
"P.S. 076 William Hallet","468",31,0.066,13,NA,NA,17,2019
"P.S./I.S. 78Q","783",9,0.011,NA,NA,NA,NA,2019
"P.S. 084 Steinway","285",13,0.046,NA,NA,NA,10,2019
"P.S. 085 Judge Charles Vallone","653",27,0.041,8,NA,NA,17,2019
"P.S. 092 Harry T. Stewart Sr.","924",14,0.015,7,NA,NA,7,2019
"P.S. 111 Jacob Blackwell","344",75,0.218,51,35,16,21,2019
"P.S. 112 Dutch Kills","463",58,0.125,10,NA,NA,46,2019
"P.S. 122 Mamie Fay","1386",19,0.014,NA,NA,NA,17,2019
"Albert Shanker School for Visual and Performing Ar","684",42,0.061,11,NA,NA,29,2019
"P.S. 127 Aerospace Science Magnet School","1305",90,0.069,46,NA,NA,42,2019
"I.S. 141 The Steinway","1191",64,0.054,20,NA,NA,41,2019
"I.S. 145 Joseph Pulitzer","1735",118,0.068,7,NA,NA,111,2019
"P.S. 148 Queens","838",111,0.132,7,NA,NA,104,2019
"P.S. 149 Christa Mcauliffe","1003",169,0.168,NA,NA,NA,164,2019
"P.S. 150 Queens","1043",69,0.066,NA,NA,NA,63,2019
"P.S. 151 Mary D. Carter","381",57,0.15,12,NA,NA,43,2019
"P.S. 152 Gwendoline N. Alleyne School","1035",213,0.206,NA,NA,NA,212,2019
"P.S. 166 Henry Gradstein","1004",38,0.038,12,NA,NA,26,2019
"P.S. 171 Peter G. Van Alst","479",54,0.113,15,8,7,31,2019
"I.S. 204 Oliver W. Holmes","473",41,0.087,15,8,7,24,2019
"P.S. Q222 - Fire Fighter Christopher A. Santora Sc","282",12,0.043,NA,NA,NA,10,2019
"I.S. 227 Louis Armstrong","1607",56,0.035,7,NA,NA,49,2019
"The Ivan Lafayette Early Childhood School of the A","317",54,0.17,NA,NA,NA,51,2019
"I.S. 230","1303",63,0.048,NA,NA,NA,62,2019
"P.S. 234","497",18,0.036,NA,NA,NA,17,2019
"Academy for New Americans","151",80,0.53,NA,NA,NA,76,2019
"Energy Tech High School","543",18,0.033,NA,NA,NA,15,2019
"P.S. 280","646",33,0.051,NA,NA,NA,29,2019
"Young Women's Leadership School, Astoria","595",9,0.015,NA,NA,NA,8,2019
"Hunters Point Community Middle School","425",22,0.052,NA,NA,NA,17,2019
"The 30th Avenue School (G&T Citywide)","520",6,0.012,NA,NA,NA,NA,2019
"Academy for Careers in Television and Film","565",17,0.03,NA,NA,NA,12,2019
"East Elmhurst Community School","461",61,0.132,NA,NA,NA,53,2019
"The Woodside Community School","344",33,0.096,NA,NA,NA,33,2019
"District 30 Pre-K Center","312",22,0.071,16,NA,NA,6,2019
"Home Schooling","372",8,0.022,NA,NA,NA,NA,2019
"William Cullen Bryant High School","2437",198,0.081,42,33,9,145,2019
"Long Island City High School","2257",142,0.063,52,41,11,87,2019
"Frank Sinatra School of the Arts High School","858",14,0.016,NA,NA,NA,11,2019
"Information Technology High School","1013",82,0.081,10,NA,NA,71,2019
"Newcomers High School","939",175,0.186,NA,NA,NA,173,2019
"Academy of American Studies","1034",11,0.011,NA,NA,NA,9,2019
"Universal Pre-K C.B.O.","1819",99,0.054,14,NA,NA,84,2019
"P.S. 001 Tottenville","447",9,0.02,NA,NA,NA,8,2019
"I.S. R002 George L. Egbert","1091",36,0.033,7,NA,NA,25,2019
"P.S. 003 The Margaret Gioiosa School","752",14,0.019,NA,NA,NA,13,2019
"P.S. 004 Maurice Wollin","692",21,0.03,NA,NA,NA,17,2019
"P.S. 005 Huguenot","317",9,0.028,NA,NA,NA,8,2019
"P.S. 6 Corporal Allan F. Kivlehan School","545",7,0.013,NA,NA,NA,6,2019
"I.S. 007 Elias Bernstein","1179",12,0.01,NA,NA,NA,10,2019
"P.S. 8 Shirlee Solomon","611",7,0.011,NA,NA,NA,NA,2019
"Naples Street Elementary School","339",6,0.018,NA,NA,NA,NA,2019
"Fort Hill Collaborative Elementary School","182",38,0.209,14,NA,NA,21,2019
"P.S. 11 Thomas Dongan School","322",10,0.031,NA,NA,NA,6,2019
"P.S. 013 M. L. Lindemeyer","874",51,0.058,10,NA,NA,38,2019
"P.S. 016 John J. Driscoll","507",71,0.14,30,24,6,36,2019
"P.S. 018 John G. Whittier","510",86,0.169,18,NA,NA,64,2019
"P.S. 019 The Curtis School","576",26,0.045,11,NA,NA,14,2019
"P.S. 020 Port Richmond","464",43,0.093,18,NA,NA,25,2019
"P.S. 21 Margaret Emery-Elm Park","354",16,0.045,NA,NA,NA,10,2019
"P.S. 022 Graniteville","966",101,0.105,13,6,7,83,2019
"P.S. 023 Richmondtown","554",32,0.058,NA,NA,NA,30,2019
"I.S. 024 Myra S. Barnes","1370",33,0.024,NA,NA,NA,30,2019
"I.S. 027 Anning S. Prall","1077",49,0.045,16,8,8,31,2019
"The Eagle Academy for Young Men of Staten Island","275",25,0.091,11,NA,NA,12,2019
"P.S. 029 Bardwell","621",16,0.026,6,NA,NA,10,2019
"P.S. 030 Westerleigh","843",22,0.026,NA,NA,NA,22,2019
"P.S. 031 William T. Davis","409",38,0.093,18,NA,NA,18,2019
"P.S. 032 The Gifford School","689",6,0.009,NA,NA,NA,6,2019
"P.S. 35 The Clove Valley School","417",8,0.019,NA,NA,NA,NA,2019
"P.S. 038 George Cromwell","385",12,0.031,NA,NA,NA,10,2019
"P.S. 39 Francis J. Murphy Jr.","549",45,0.082,12,NA,NA,28,2019
"The Stephanie A. Vierno School","722",16,0.022,NA,NA,NA,13,2019
"P.S. 042 Eltingville","1077",20,0.019,NA,NA,NA,19,2019
"P.S. 044 Thomas C. Brown","804",89,0.111,55,37,18,23,2019
"P.S. 045 John Tyler","879",59,0.067,25,19,6,34,2019
"P.S. 048 William G. Wilcox","1013",15,0.015,NA,NA,NA,11,2019
"I.S. 49 Berta A. Dreyfus","549",46,0.084,22,15,7,17,2019
"I.S. 051 Edwin Markham","1376",84,0.061,33,23,10,50,2019
"P.S. 052 John C. Thompson","609",44,0.072,NA,NA,NA,40,2019
"The Barbara Esselborn School","855",25,0.029,NA,NA,NA,25,2019
"P.S. 054 Charles W. Leng","810",7,0.009,NA,NA,NA,NA,2019
"P.S. 56 The Louis Desario School","594",9,0.015,NA,NA,NA,NA,2019
"P.S. 057 Hubert H. Humphrey","671",66,0.098,19,NA,NA,42,2019
"Space Shuttle Columbia School","711",29,0.041,NA,NA,NA,25,2019
"The Harbor View School","301",24,0.08,NA,NA,NA,24,2019
"P.S. 060 Alice Austen","872",13,0.015,NA,NA,NA,9,2019
"I.S. 061 William A Morris","968",54,0.056,42,26,16,11,2019
"The Kathleen Grimm School for Leadership and Susta","290",7,0.024,NA,NA,NA,7,2019
"Marsh Avenue School for Expeditionary Learning","448",10,0.022,NA,NA,NA,7,2019
"Gaynor McCown Expeditionary Learning School","439",8,0.018,NA,NA,NA,7,2019
"P.S. 65 The Academy of Innovative Learning","442",29,0.066,7,NA,NA,17,2019
"The Richmond Pre-K Center","257",19,0.074,NA,NA,NA,15,2019
"Port Richmond School for Visionary Learning","243",28,0.115,NA,NA,NA,23,2019
"P.S. 069 Daniel D. Tompkins","957",6,0.006,NA,NA,NA,NA,2019
"I.S. 072 Rocco Laurie","1505",43,0.029,NA,NA,NA,39,2019
"P.S. 74 Future Leaders Elementary School","310",63,0.203,37,28,9,25,2019
"I.S. 075 Frank D. Paulo","1463",17,0.012,NA,NA,NA,13,2019
"P.S. 78","811",92,0.113,59,44,15,27,2019
"The Michael J. Petrides School","1338",20,0.015,6,NA,NA,13,2019
"New Dorp High School","3043",109,0.036,17,8,9,85,2019
"Home Schooling","568",24,0.042,15,7,8,7,2019
"Port Richmond High School","1562",105,0.067,30,17,13,71,2019
"Curtis High School","2562",178,0.069,57,30,27,106,2019
"Tottenville High School","3702",83,0.022,NA,NA,NA,78,2019
"Susan E. Wagner High School","3402",83,0.024,23,15,8,55,2019
"Concord High School","193",15,0.078,6,NA,NA,9,2019
"Ralph R. McKee Career and Technical Education High","780",22,0.028,11,NA,NA,8,2019
"Staten Island Yabc","220",7,0.032,NA,NA,NA,NA,2019
"Universal Pre-K C.B.O.","2163",48,0.022,11,NA,NA,35,2019
"Staten Island School of Civic Leadership","916",50,0.055,9,NA,NA,37,2019
"P.S./I.S. 045 Horace E. Greene","655",93,0.142,64,58,6,23,2019
"P.S. 075 Mayda Cortiella","319",62,0.194,8,NA,NA,54,2019
"P.S. 086 The Irvington","406",82,0.202,NA,NA,NA,77,2019
"P.S. 106 Edward Everett Hale","415",62,0.149,26,20,6,26,2019
"P.S. 116 Elizabeth L Farrell","368",69,0.188,8,NA,NA,61,2019
"P.S. 123 Suydam","613",69,0.113,27,NA,NA,41,2019
"P.S. 145 Andrew Jackson","551",169,0.307,55,49,6,113,2019
"P.S. 151 Lyndon B. Johnson","309",108,0.35,10,NA,NA,92,2019
"J.H.S. 162 The Willoughby","353",66,0.187,17,NA,NA,45,2019
"The Brooklyn School for Math and Research","302",34,0.113,14,NA,NA,20,2019
"P.S. 274 Kosciusko","384",112,0.292,47,41,6,65,2019
"J.H.S. 291 Roland Hayes","324",95,0.293,21,NA,NA,70,2019
"P.S. 299 Thomas Warren Field","250",62,0.248,32,NA,NA,29,2019
"I.S. 347 School of Humanities","345",52,0.151,10,NA,NA,40,2019
"I.S. 349 Math, Science & Tech.","335",54,0.161,18,NA,NA,36,2019
"P.S. 376","550",64,0.116,7,NA,NA,56,2019
"P.S. 377 Alejandrina B. De Gautier","168",12,0.071,9,NA,NA,NA,2019
"J.H.S. 383 Philippa Schuyler","905",32,0.035,17,11,6,15,2019
"P.S. /I.S. 384 Frances E. Carter","522",54,0.103,17,NA,NA,36,2019
"Academy for Environmental Leadership","293",74,0.253,14,NA,NA,52,2019
"Home Schooling","46",11,0.239,9,NA,NA,NA,2019
"EBC High School for Public Service - Bushwick","492",47,0.096,18,NA,NA,28,2019
"The Brooklyn School for Social Justice","364",56,0.154,24,18,6,29,2019
"The Academy of Urban Planning and Engineering","241",29,0.12,7,NA,NA,21,2019
"All City Leadership Secondary School","437",17,0.039,NA,NA,NA,15,2019
"Bushwick Leaders High School for Academic Excellen","305",52,0.17,16,9,7,36,2019
"Evergreen Middle School for Urban Exploration","373",66,0.177,34,NA,NA,31,2019
"Bushwick Community High School","228",21,0.092,13,NA,NA,7,2019
"Universal Pre-K C.B.O.","787",58,0.074,14,NA,NA,42,2019
"P.S. K004","346",27,0.078,19,NA,NA,NA,2019
"P.S. 36","431",61,0.142,43,31,12,10,2019
"P.S. K053","461",20,0.043,14,NA,NA,NA,2019
"P.S. K077","286",15,0.052,8,NA,NA,NA,2019
"P.S. K140","376",72,0.191,39,23,16,14,2019
"P.S. K141","367",34,0.093,25,18,7,NA,2019
"P.S. K231","373",14,0.038,7,NA,NA,NA,2019
"P.S. 368","304",51,0.168,32,24,8,13,2019
"P.S. K369 - Coy L. Cox School","552",52,0.094,29,16,13,14,2019
"P.S. 370","259",13,0.05,NA,NA,NA,7,2019
"P.S. 371 - Lillian L. Rashkis","278",25,0.09,13,7,6,NA,2019
"P.S. 373 - Brooklyn Transition Center","463",29,0.063,21,NA,NA,6,2019
"P.S. K396","446",67,0.15,28,NA,NA,33,2019
"P.S. K721 - Brooklyn Occupational Training Center","491",25,0.051,11,NA,NA,12,2019
"P.S. K753 - School for Career Development","322",53,0.165,39,23,16,NA,2019
"P.S. K771","452",16,0.035,11,NA,NA,NA,2019
"P.S. K811 Connie Lekas School","343",30,0.087,11,NA,NA,15,2019
"P.S. 035","364",51,0.14,28,18,10,8,2019
"P.S. M079 - Horan School","290",33,0.114,20,NA,NA,11,2019
"P.S. M094","436",59,0.135,35,23,12,12,2019
"P.S. 138","636",65,0.102,43,33,10,22,2019
"P.S. M169 - Robert F. Kennedy","393",80,0.204,42,26,16,36,2019
"P.S. M226","309",44,0.142,22,NA,NA,20,2019
"Hospital Schools","347",48,0.138,9,NA,NA,NA,2019
"Home Instruction","90",23,0.256,NA,NA,NA,NA,2019
"P.S. M721 - Manhattan Occupational Training Center","204",17,0.083,10,NA,NA,7,2019
"Manhattan School for Career Development","232",25,0.108,9,NA,NA,12,2019
"P.S. M811 - Mickey Mantle School","395",77,0.195,33,26,7,37,2019
"P.S. Q004","439",25,0.057,13,NA,NA,9,2019
"P.S. 009","692",68,0.098,39,25,14,21,2019
"P.S. Q023 @ Queens Children Center","586",38,0.065,15,NA,NA,10,2019
"Robert E. Peary School","606",62,0.102,31,20,11,18,2019
"P.S. Q177","496",15,0.03,7,NA,NA,7,2019
"P.S. Q224","422",24,0.057,8,NA,NA,10,2019
"P.S. Q233","511",18,0.035,13,NA,NA,NA,2019
"P.S. Q255","434",10,0.023,7,NA,NA,NA,2019
"P.S. Q256","679",53,0.078,30,23,7,13,2019
"The Riverview School","515",40,0.078,20,NA,NA,19,2019
"John F. Kennedy Jr. School","502",31,0.062,12,NA,NA,14,2019
"Queens Transition Center","422",35,0.083,23,14,9,NA,2019
"P.S. Q811","450",22,0.049,10,NA,NA,7,2019
"P.S. Q993","591",17,0.029,8,NA,NA,6,2019
"South Richmond High School I.S./P.S. 25","649",44,0.068,26,20,6,6,2019
"The David Marquis School of the Arts","378",10,0.026,6,NA,NA,NA,2019
"P.S. R373","629",36,0.057,21,NA,NA,13,2019
"The Richard H. Hungerford School","466",20,0.043,8,NA,NA,10,2019
"P.S. X010","618",55,0.089,36,30,6,16,2019
"P.S. X012 Lewis and Clark School","272",40,0.147,22,10,12,8,2019
"P.S. X017","478",58,0.121,45,33,12,8,2019
"P.S. 168","564",85,0.151,37,NA,NA,34,2019
"P.S. X176","556",29,0.052,21,NA,NA,6,2019
"P186X Walter J. Damrosch School","801",135,0.169,104,79,25,22,2019
"P.S. X188","513",75,0.146,43,27,16,26,2019
"The Vida Bogart School for All Children","557",91,0.163,54,38,16,29,2019
"P469X - The Bronx School for Continuous Learners","343",53,0.155,31,21,10,21,2019
"P.S. X596","422",22,0.052,16,NA,NA,NA,2019
"P.S. X721 - Stephen McSweeney School","556",43,0.077,23,16,7,16,2019
"P.S. 723","531",95,0.179,60,38,22,13,2019
"J. M. Rapport School Career Development","538",103,0.191,60,33,27,21,2019
"P.S. X811","652",61,0.094,37,22,15,20,2019
"School for Cooperative Technical Education","1186",81,0.068,26,12,14,46,2019
"District 79 Youth Justice and Treatment Programs","102",14,0.137,NA,NA,NA,NA,2019
"Restart Academy","800",369,0.461,52,30,22,24,2019
"East River Academy","713",94,0.132,34,11,23,25,2019
"Pathways to Graduation","7193",998,0.139,370,178,192,368,2019
"Passages Academy","320",47,0.147,21,9,12,10,2019
"P.S. 015 Roberto Clemente","193",70,0.363,29,21,8,38,2020
"P.S. 019 Asher Levy","247",30,0.121,14,NA,NA,15,2020
"P.S. 020 Anna Silver","478",76,0.159,44,20,24,28,2020
"P.S. 034 Franklin D. Roosevelt","302",65,0.215,41,23,18,23,2020
"The STAR Academy - P.S.63","233",53,0.227,23,16,7,28,2020
"P.S. 064 Robert Simon","246",54,0.22,21,15,6,32,2020
"P.S. 110 Florence Nightingale","396",46,0.116,13,NA,NA,32,2020
"P.S. 134 Henrietta Szold","259",51,0.197,19,NA,NA,26,2020
"P.S. 140 Nathan Straus","386",94,0.244,32,18,14,59,2020
"P.S. 142 Amalia Castro","334",79,0.237,17,10,7,60,2020
"P.S. 184m Shuang Wen","721",96,0.133,NA,NA,NA,91,2020
"P.S. 188 The Island School","410",166,0.405,103,76,27,58,2020
"Orchard Collegiate Academy","224",24,0.107,7,NA,NA,16,2020
"The East Village Community School","335",8,0.024,NA,NA,NA,6,2020
"University Neighborhood Middle School","224",47,0.21,17,9,8,25,2020
"The Children's Workshop School","341",29,0.085,8,NA,NA,19,2020
"Neighborhood School","308",8,0.026,NA,NA,NA,NA,2020
"Earth School","354",52,0.147,7,NA,NA,43,2020
"School for Global Leaders","215",31,0.144,16,NA,NA,15,2020
"Home Schooling","78",11,0.141,9,NA,NA,NA,2020
"University Neighborhood High School","495",59,0.119,7,NA,NA,50,2020
"East Side Community School","681",64,0.094,14,8,6,46,2020
"Forsyth Satellite Academy","206",26,0.126,16,8,8,7,2020
"Marta Valle High School","94",NA,NA,NA,NA,NA,NA,2020
"Lower East Side Preparatory High School","668",99,0.148,20,11,9,71,2020
"New Explorations into Science, Technology and Math","1,818",15,0.008,NA,NA,NA,9,2020
"Cascades High School","217",25,0.115,16,7,9,NA,2020
"Bard High School Early College","615",13,0.021,NA,NA,NA,8,2020
